epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,857.213,0.82468,0.79428,1.16587,0.71934,0.43532,0.46215,0.35651,0.8132,0.94698,1.19222,0.000456863,0.000456863,0.000456863
43,876.968,0.8045,0.79945,1.16148,0.77132,0.40665,0.49294,0.37623,0.84314,0.99848,1.21591,0.00044925,0.00044925,0.00044925
44,897.391,0.81411,0.78276,1.17113,0.73853,0.43496,0.49774,0.39155,0.82028,0.89698,1.2019,0.000441637,0.000441637,0.000441637
45,918.29,0.80416,0.76929,1.14741,0.77939,0.39493,0.49094,0.36438,0.8664,0.93355,1.24441,0.000434024,0.000434024,0.000434024
46,937.997,0.82021,0.78423,1.16321,0.79199,0.3574,0.4782,0.38016,0.84924,0.96911,1.20713,0.000426411,0.000426411,0.000426411
47,958.649,0.78673,0.75974,1.15016,0.76945,0.38601,0.4803,0.38204,0.78889,0.97121,1.17824,0.000418797,0.000418797,0.000418797
48,978.558,0.77852,0.75279,1.1591,0.75656,0.40465,0.49357,0.39301,0.78301,0.90163,1.1653,0.000411184,0.000411184,0.000411184
49,1000.9,0.77591,0.73806,1.13939,0.76044,0.40429,0.4803,0.38957,0.76601,0.91872,1.15037,0.000403571,0.000403571,0.000403571
50,1021.7,0.77072,0.72637,1.13012,0.75511,0.42604,0.49824,0.3774,0.80885,0.90514,1.19409,0.000395958,0.000395958,0.000395958
51,1041.56,0.78482,0.765,1.13764,0.76119,0.41189,0.493,0.40702,0.7504,0.87699,1.14267,0.000388345,0.000388345,0.000388345
52,1062.04,0.79072,0.72655,1.13948,0.77839,0.40338,0.48637,0.37432,0.781,0.90174,1.15848,0.000380732,0.000380732,0.000380732
53,1081.57,0.77054,0.71674,1.14155,0.78743,0.40627,0.49139,0.39628,0.78663,0.86538,1.16609,0.000373119,0.000373119,0.000373119
54,1102.94,0.76411,0.71373,1.13553,0.78401,0.39874,0.52299,0.43435,0.77766,0.80309,1.16309,0.000365506,0.000365506,0.000365506
55,1123,0.73409,0.68626,1.11399,0.7629,0.40597,0.50053,0.41061,0.76115,0.8968,1.15355,0.000357893,0.000357893,0.000357893
56,1143.34,0.74665,0.70319,1.12347,0.74946,0.3895,0.49964,0.40257,0.77546,0.88742,1.1694,0.00035028,0.00035028,0.00035028
57,1163.33,0.75215,0.68755,1.13106,0.7558,0.42664,0.52884,0.43786,0.74995,0.79608,1.14729,0.000342666,0.000342666,0.000342666
58,1183.33,0.749,0.67991,1.13309,0.49334,0.50158,0.53759,0.43952,0.77124,0.90643,1.14385,0.000335053,0.000335053,0.000335053
59,1203.55,0.74703,0.66286,1.1185,0.73754,0.43908,0.48962,0.40686,0.7507,0.90116,1.12167,0.00032744,0.00032744,0.00032744
60,1223.42,0.73429,0.68121,1.11414,0.43794,0.51209,0.51888,0.4161,0.77669,0.86943,1.14459,0.000319827,0.000319827,0.000319827
61,1244.38,0.70859,0.6344,1.09777,0.4509,0.47667,0.51339,0.42078,0.75152,0.83218,1.13519,0.000312214,0.000312214,0.000312214
62,1266.68,0.72351,0.64381,1.09893,0.46742,0.4759,0.51065,0.41853,0.73512,0.89404,1.13712,0.000304601,0.000304601,0.000304601
63,1285.81,0.70164,0.66323,1.09818,0.77013,0.41068,0.51914,0.40842,0.74486,0.83513,1.12612,0.000296988,0.000296988,0.000296988
64,1306.86,0.70308,0.64356,1.099,0.53525,0.47783,0.51332,0.43168,0.74279,0.83192,1.14358,0.000289375,0.000289375,0.000289375
65,1325.66,0.71332,0.63069,1.10797,0.45915,0.51075,0.50082,0.40963,0.75057,0.87764,1.13325,0.000281762,0.000281762,0.000281762
66,1346.8,0.69191,0.62263,1.08251,0.44969,0.47178,0.51297,0.42354,0.76693,0.84024,1.1308,0.000274148,0.000274148,0.000274148
67,1366.71,0.71008,0.65241,1.10397,0.46845,0.48488,0.51039,0.41166,0.78903,0.84822,1.1538,0.000266535,0.000266535,0.000266535
68,1386.83,0.68628,0.61207,1.08143,0.59467,0.51651,0.53807,0.44666,0.72023,0.84845,1.12332,0.000258922,0.000258922,0.000258922
